id,mean_acc_[M0],current_acc_[M0]
1000,0.699,0.73
2000,0.6945,0.695
3000,0.702667,0.68
4000,0.70475,0.68
5000,0.703,0.65
6000,0.707667,0.72
7000,0.715,0.77
8000,0.7175,0.77
9000,0.720556,0.7
10000,0.7215,0.73
11000,0.698727,0
12000,0.722917,0.985
13000,0.694385,0
14000,0.689929,0.63
15000,0.688467,0.65
16000,0.681125,0.18
17000,0.674588,0.625
18000,0.673944,0.38
19000,0.674105,0.625
20000,0.6781,0.725
21000,0.682905,0.76
22000,0.687409,0.78
23000,0.691304,0.765
24000,0.6945,0.735
25000,0.69788,0.785
26000,0.699923,0.595
27000,0.689593,0.37
28000,0.691286,0.7
29000,0.692207,0.72
30000,0.693633,0.75
31000,0.694484,0.725
32000,0.682312,0.21
33000,0.680273,0.585
34000,0.679118,0.605
35000,0.677314,0.56
36000,0.677028,0.645
37000,0.666973,0.26
38000,0.665658,0.695
39000,0.666923,0.685
40000,0.668675,0.76
