id,mean_acc_[HT],current_acc_[HT],mean_acc_[SAMKNN],current_acc_[SAMKNN],mean_acc_[HAT],current_acc_[HAT]
1000,0.57,0.56,0.904,0.895,0.697,0.7
2000,0.553,0.53,0.8905,0.885,0.69,0.72
3000,0.575667,0.64,0.736,0.245,0.685333,0.66
4000,0.6055,0.72,0.74425,0.77,0.6855,0.685
5000,0.6292,0.73,0.752,0.775,0.685,0.67
6000,0.6385,0.655,0.757833,0.8,0.6825,0.665
7000,0.648286,0.745,0.764429,0.83,0.682143,0.68
8000,0.655375,0.685,0.756375,0.665,0.681375,0.65
9000,0.661,0.705,0.755111,0.73,0.680111,0.69
10000,0.6547,0.555,0.7384,0.42,0.6802,0.735
11000,0.647182,0.575,0.754455,0.8,0.681727,0.67
12000,0.656,0.75,0.774917,1,0.687583,0.725
13000,0.660923,0.475,0.779769,0.19,0.693154,0.41
14000,0.633,0.24,0.742929,0.255,0.657143,0.165
15000,0.609667,0.33,0.732533,0.58,0.6288,0.25
16000,0.591,0.36,0.722938,0.53,0.620375,0.495
17000,0.575,0.355,0.715588,0.625,0.617941,0.6
18000,0.561056,0.335,0.707667,0.59,0.615222,0.58
19000,0.551053,0.36,0.700684,0.605,0.611421,0.56
20000,0.54095,0.295,0.69385,0.56,0.60915,0.55
21000,0.533333,0.345,0.688286,0.62,0.606429,0.595
22000,0.522364,0.11,0.680909,0.295,0.601318,0.27
23000,0.507565,0.25,0.668087,0.265,0.601043,0.64
24000,0.507991,0.515,0.670238,0.81,0.603629,0.915
