id,mean_acc_[M0],current_acc_[M0]
1000,0.896,0.87
2000,0.8945,0.915
3000,0.749333,0.26
4000,0.759,0.79
5000,0.7724,0.825
6000,0.7785,0.785
7000,0.785429,0.845
8000,0.7915,0.82
9000,0.792111,0.795
10000,0.7856,0.645
11000,0.780727,0.33
12000,0.799,1
13000,0.802,0.19
14000,0.775429,0.42
15000,0.765,0.59
16000,0.757313,0.655
17000,0.750588,0.635
18000,0.743056,0.615
19000,0.737474,0.695
20000,0.7342,0.65
21000,0.73119,0.69
22000,0.724545,0.28
23000,0.71813,0.63
24000,0.719957,0.9
