id,mean_acc_[HT],current_acc_[HT],mean_acc_[SAMKNN],current_acc_[SAMKNN],mean_acc_[HAT],current_acc_[HAT]
1000,0.354,0.315,0.415,0.385,0.43,0.435
2000,0.3595,0.365,0.471,0.565,0.4715,0.555
3000,0.368667,0.38,0.502667,0.615,0.507667,0.605
4000,0.377,0.395,0.51125,0.505,0.52325,0.57
5000,0.3952,0.46,0.5132,0.48,0.5328,0.535
6000,0.405167,0.42,0.5075,0.375,0.525333,0.435
7000,0.416714,0.43,0.507286,0.45,0.514429,0.455
8000,0.42625,0.425,0.51075,0.54,0.507125,0.425
9000,0.430778,0.45,0.508889,0.505,0.499333,0.4
10000,0.4339,0.42,0.5105,0.55,0.4963,0.475
11000,0.437727,0.52,0.514455,0.525,0.491455,0.395
12000,0.441917,0.495,0.515917,0.635,0.48475,0.425
13000,0.448077,0.495,0.521231,0.545,0.481769,0.46
14000,0.453857,0.545,0.520214,0.535,0.479429,0.475
15000,0.453267,0.435,0.5166,0.47,0.4726,0.335
16000,0.453,0.415,0.520188,0.615,0.480125,0.615
17000,0.453765,0.44,0.524353,0.59,0.486882,0.57
18000,0.454556,0.485,0.526778,0.55,0.491222,0.575
19000,0.455526,0.48,0.529895,0.545,0.495842,0.56
20000,0.4585,0.52,0.53155,0.63,0.49865,0.48
21000,0.461524,0.515,0.532762,0.545,0.49919,0.515
22000,0.464545,0.505,0.536545,0.605,0.500591,0.545
23000,0.467652,0.575,0.538609,0.545,0.502652,0.55
24000,0.469,0.485,0.538542,0.5,0.504792,0.575
25000,0.46972,0.565,0.54016,0.595,0.50616,0.6
26000,0.4715,0.505,0.541115,0.575,0.507423,0.535
27000,0.473741,0.56,0.542815,0.635,0.509148,0.585
28000,0.476643,0.53,0.54225,0.575,0.510357,0.59
29000,0.479724,0.59,0.541966,0.55,0.512103,0.545
30000,0.4829,0.53,0.542367,0.51,0.512967,0.51
31000,0.486,0.575,0.543516,0.61,0.514258,0.605
32000,0.488625,0.595,0.543562,0.595,0.515594,0.61
33000,0.491121,0.555,0.543727,0.51,0.516848,0.58
34000,0.494,0.59,0.544324,0.605,0.518118,0.575
35000,0.4962,0.55,0.544971,0.5,0.519114,0.515
36000,0.498778,0.605,0.545917,0.58,0.5205,0.53
37000,0.500486,0.625,0.546297,0.61,0.521811,0.6
38000,0.501921,0.54,0.545237,0.46,0.522132,0.46
39000,0.503128,0.525,0.545949,0.595,0.522359,0.505
40000,0.50425,0.56,0.547125,0.605,0.5233,0.57
41000,0.506171,0.57,0.54722,0.54,0.524512,0.615
42000,0.508,0.55,0.548786,0.56,0.525833,0.57
43000,0.509744,0.6,0.550977,0.68,0.527186,0.565
44000,0.512227,0.7,0.551727,0.59,0.528386,0.655
45000,0.514733,0.615,0.553333,0.655,0.529644,0.59
46000,0.517196,0.64,0.555065,0.605,0.532043,0.635
47000,0.519106,0.64,0.556277,0.665,0.533574,0.62
48000,0.520521,0.605,0.557875,0.66,0.534833,0.605
49000,0.522714,0.65,0.559571,0.635,0.536939,0.62
50000,0.52498,0.65,0.56142,0.665,0.53898,0.65
51000,0.526314,0.595,0.561941,0.555,0.539725,0.615
52000,0.527731,0.625,0.563231,0.62,0.540288,0.595
53000,0.529321,0.605,0.564755,0.64,0.54117,0.58
54000,0.530444,0.64,0.5655,0.635,0.541667,0.585
55000,0.531018,0.555,0.565127,0.535,0.541727,0.555
56000,0.531446,0.56,0.565875,0.605,0.541946,0.535
57000,0.531472,0.57,0.565925,0.625,0.541969,0.545
