id,mean_acc_[M0],current_acc_[M0]
1000,0.442,0.41
2000,0.503,0.64
3000,0.534667,0.61
4000,0.55,0.55
5000,0.5534,0.575
6000,0.5465,0.45
7000,0.545571,0.54
8000,0.550625,0.57
9000,0.550444,0.55
10000,0.5572,0.605
11000,0.558455,0.5
12000,0.5575,0.565
13000,0.562538,0.57
14000,0.566571,0.62
15000,0.5672,0.54
16000,0.571375,0.67
17000,0.574824,0.605
18000,0.577333,0.63
19000,0.581211,0.635
20000,0.58315,0.61
21000,0.584619,0.615
22000,0.588136,0.635
23000,0.591043,0.61
24000,0.591625,0.625
25000,0.59272,0.705
26000,0.595,0.645
27000,0.596778,0.68
28000,0.599179,0.665
29000,0.601241,0.65
30000,0.602867,0.6
31000,0.605677,0.725
32000,0.607,0.655
33000,0.609061,0.675
34000,0.610794,0.69
